Date,Confirmed,Recovered,Deaths
1/22/2020,0,0,0
1/23/2020,0,0,0
1/24/2020,0,0,0
1/25/2020,0,0,0
1/26/2020,0,0,0
1/27/2020,0,0,0
1/28/2020,0,0,0
1/29/2020,0,0,0
1/30/2020,1,0,0
1/31/2020,1,0,0
02-01-2020,1,0,0
02-02-2020,2,0,0
02-03-2020,3,0,0
02-04-2020,3,0,0
02-05-2020,3,0,0
02-06-2020,3,0,0
02-07-2020,3,0,0
02-08-2020,3,0,0
02-09-2020,3,0,0
02-10-2020,3,0,0
02-11-2020,3,0,0
02-12-2020,3,0,0
2/13/2020,3,0,0
2/14/2020,3,0,0
2/15/2020,3,0,0
2/16/2020,3,3,0
2/17/2020,3,3,0
2/18/2020,3,3,0
2/19/2020,3,3,0
2/20/2020,3,3,0
2/21/2020,3,3,0
2/22/2020,3,3,0
2/23/2020,3,3,0
2/24/2020,3,3,0
2/25/2020,3,3,0
2/26/2020,3,3,0
2/27/2020,3,3,0
2/28/2020,3,3,0
2/29/2020,3,3,0
03-01-2020,3,3,0
03-02-2020,5,3,0
03-03-2020,5,3,0
03-04-2020,28,3,0
03-05-2020,30,3,0
03-06-2020,31,3,0
03-07-2020,34,3,0
03-08-2020,39,3,0
03-09-2020,43,3,0
03-10-2020,56,4,0
03-11-2020,62,4,1
03-12-2020,73,4,1
3/13/2020,82,4,2
3/14/2020,102,4,2
3/15/2020,113,13,2
3/16/2020,119,13,2
3/17/2020,142,14,3
3/18/2020,156,14,3
3/19/2020,194,15,4
3/20/2020,244,20,5
3/21/2020,330,23,4
3/22/2020,396,27,7
3/23/2020,499,27,10
3/24/2020,536,40,10
3/25/2020,657,43,12
3/26/2020,727,45,20
3/27/2020,887,73,20
3/28/2020,987,84,24
3/29/2020,1024,95,27
3/30/2020,1251,102,32
3/31/2020,1397,123,35
04-01-2020,1998,148,58
04-02-2020,2543,191,72
04-03-2020,2567,192,72
04-04-2020,3082,229,86
04-05-2020,3588,229,99
04-06-2020,4778,375,136
04-07-2020,5311,421,150
04-08-2020,5916,506,178
04-09-2020,6725,620,226
04-10-2020,7598,774,246
04-11-2020,8446,969,288
04-12-2020,9205,1080,331
4/13/2020,10453,1181,358
4/14/2020,11487,1359,393
4/15/2020,12322,1432,405
4/16/2020,13430,1768,448
4/17/2020,14352,2041,486
4/18/2020,15722,2463,521
4/19/2020,17615,2854,559
4/20/2020,18539,3273,592
4/21/2020,20080,3975,645
4/22/2020,21370,4370,681
4/23/2020,23077,5012,721
4/24/2020,24530,5498,780
4/25/2020,26283,5939,825
4/26/2020,27890,6523,881
4/27/2020,29451,7137,939
4/28/2020,31324,7747,1008
4/29/2020,33062,8437,1079
4/30/2020,34863,9068,1154
05-01-2020,37257,10007,1223
05-02-2020,39699,10819,1323
05-03-2020,42505,11775,1391
05-04-2020,46437,12847,1566
05-05-2020,49400,14142,1693
05-06-2020,52987,15331,1785
05-07-2020,56351,16776,1889
05-08-2020,59695,17887,1985
05-09-2020,62808,19301,2101
05-10-2020,67161,20969,2212
05-11-2020,70768,22549,2294
05-12-2020,74292,24420,2415
5/13/2020,78055,26400,2551
5/14/2020,81997,27969,2649
5/15/2020,85784,30258,2753
5/16/2020,90648,34224,2871
5/17/2020,95698,36795,3025
5/18/2020,100328,39233,3156
5/19/2020,106475,42309,3302
5/20/2020,112028,45422,3434
5/21/2020,118226,48553,3584
5/22/2020,124794,51824,3726
5/23/2020,131423,54385,3868
5/24/2020,138536,57692,4024
5/25/2020,144950,60706,4172
5/26/2020,150793,64277,4344
5/27/2020,158086,67749,4534
5/28/2020,165386,70920,4711
5/29/2020,173491,82627,4980
5/30/2020,181827,86936,5185
5/31/2020,190609,91852,5408
06-01-2020,198370,95754,5608
06-02-2020,207191,100285,5829
06-03-2020,216824,104071,6088
06-04-2020,226713,108450,6363
06-05-2020,236184,113233,6649
06-06-2020,246622,118695,6946
06-07-2020,257486,123848,7207
06-08-2020,265928,129095,7473
06-09-2020,276146,134670,7750
06-10-2020,286605,135206,8102
06-11-2020,297535,147195,8498
06-12-2020,308993,154330,8884
6/13/2020,320922,162379,9195
6/14/2020,332424,169798,9520
6/15/2020,343091,180013,9900
6/16/2020,354065,186935,11903
6/17/2020,366946,194325,12237
6/18/2020,380532,204711,12573
6/19/2020,395048,213831,12948
6/20/2020,410451,227728,13254
6/21/2020,425282,237196,13699
6/22/2020,440215,248190,14011
6/23/2020,456183,258685,14476
6/24/2020,473105,271697,14894
6/25/2020,490401,285637,15301
6/26/2020,508953,295881,15685
6/27/2020,528859,309713,16095
6/28/2020,548318,321723,16475
6/29/2020,566840,334822,16893
6/30/2020,585481,347912,17400
07-01-2020,604641,359860,17834
07-02-2020,625544,379892,18213
07-03-2020,648315,394227,18655
07-04-2020,673165,409083,19268
07-05-2020,697413,424433,19693
07-06-2020,719664,439934,20159
07-07-2020,742417,456831,20642
07-08-2020,767296,476378,21129
07-09-2020,793802,495513,21604
07-10-2020,820916,515386,22123
07-11-2020,849522,534618,22673
07-12-2020,878254,553471,23174
7/13/2020,906752,571460,23727
7/14/2020,936181,592032,24309
7/15/2020,968857,612768,24914
7/16/2020,1003832,635757,25602
7/17/2020,1039084,653751,26273
7/18/2020,1077781,677423,26816
7/19/2020,1118206,700087,27497
7/20/2020,1155338,724578,28082
7/21/2020,1193078,753050,28732
7/22/2020,1238798,782607,29861
7/23/2020,1288108,817209,30601
7/24/2020,1337024,849432,31358
7/25/2020,1385635,885573,32060
7/26/2020,1435616,917568,32771
7/27/2020,1480073,951166,33408
7/28/2020,1531669,988029,34193
7/29/2020,1581963,1019735,34955
7/30/2020,1634746,1055348,35718
7/31/2020,1695988,1094374,36511
08-01-2020,1750723,1145629,37364
08-02-2020,1803695,1186203,38135
08-03-2020,1855745,1230509,38938
08-04-2020,1908254,1282215,39795
08-05-2020,1964536,1328336,40699
08-06-2020,2027074,1378105,41585
08-07-2020,2088611,1427005,42518
08-08-2020,2153010,1480884,43379
08-09-2020,2215074,1535743,44386
08-10-2020,2268675,1583489,45257
08-11-2020,2329638,1639599,46091
08-12-2020,2396637,1695982,47033
8/13/2020,2461190,1751555,48040
8/14/2020,2525922,1808936,49036
8/15/2020,2589952,1862258,49980
8/16/2020,2647663,1919842,50921
8/17/2020,2702681,1977671,51797
8/18/2020,2767253,2037816,52888
8/19/2020,2836925,2096664,53866
8/20/2020,2905825,2158946,54849
8/21/2020,2975701,2222577,55794
8/22/2020,3044940,2280566,56706
8/23/2020,3106348,2338035,57542
8/24/2020,3167323,2404585,58390
8/25/2020,3224547,2458339,59357
8/26/2020,3310234,2523771,60472
8/27/2020,3387500,2583948,61529
8/28/2020,3463972,2648998,62550
8/29/2020,3542733,2713933,63498
8/30/2020,3621245,2774801,64469
8/31/2020,3691166,2839882,65288
09-01-2020,3769523,2901908,66333
09-02-2020,3853406,2970492,67376
09-03-2020,3936747,3037151,68472
09-04-2020,4023179,3107223,69561
09-05-2020,4113811,3180865,70626
09-06-2020,4204613,3250429,71642
09-07-2020,4280422,3323950,72775
09-08-2020,4370128,3398844,73890
09-09-2020,4465863,3471783,75062
09-10-2020,4562414,3542663,76271
09-11-2020,4659984,3624196,77472
09-12-2020,4754356,3702595,78586
9/13/2020,4846427,3780107,79722
9/14/2020,4930236,3859399,80776
9/15/2020,5020359,3942360,82066
9/16/2020,5118253,4025079,83198
9/17/2020,5214677,4112551,84372
9/18/2020,5308014,4208431,85619
9/19/2020,5400619,4303043,86752
9/20/2020,5487580,4396399,87882
9/21/2020,5562663,4497867,88935
9/22/2020,5646010,4587613,90020
9/23/2020,5732518,4674987,91149
9/24/2020,5818570,4756164,92290
9/25/2020,5903932,4849584,93379
9/26/2020,5992532,4941627,94503
9/27/2020,6074702,5016520,95542
9/28/2020,6145291,5101397,96318
9/29/2020,6225763,5187825,97497
9/30/2020,6312584,5273201,98678
10-01-2020,6394068,5352078,99773
10-02-2020,6473544,5427706,100842
10-03-2020,6549373,5509966,101782
10-04-2020,6623815,5586703,102685
10-05-2020,6685082,5662490,103569
10-06-2020,6757131,5744693,104555
10-07-2020,6835655,5827704,105526
10-08-2020,6906151,5906069,106490
10-09-2020,6979423,5988822,107416
10-10-2020,7053806,6077976,108334
10-11-2020,7120538,6149535,109150
10-12-2020,7175880,6227295,109856
10/13/2020,7239389,6301927,110586
10/14/2020,7307097,6383441,111266
10/15/2020,7370468,6453779,112161
10/16/2020,7432680,6524595,112998
10/17/2020,7494551,6597209,114031
10/18/2020,7550273,6663608,114610
10/19/2020,7597063,6733328,115197
10/20/2020,7651107,6795103,115914
10/21/2020,7706946,6874518,116616
10/22/2020,7761312,6948497,117306
10/23/2020,7814682,7016046,117956
10/24/2020,7864811,7078123,118534
10/25/2020,7909959,7137228,119014
10/26/2020,7946429,7201070,119502
10/27/2020,7990322,7259509,120010
10/28/2020,8040203,7315989,120527
10/29/2020,8088851,7373375,121090
10/30/2020,8137119,7432829,121641
10/31/2020,8184082,7491513,122111
11-01-2020,8229313,7544798,122607
11-02-2020,8267623,7603121,123097
11-03-2020,8313876,7656478,123611
11-04-2020,8364086,7711809,124315
11-05-2020,8411724,7765966,124985
11-06-2020,8462080,7819886,125562
11-07-2020,8507754,7868968,126121
11-08-2020,8553657,7917373,126611
11-09-2020,8591730,7959406,127059
11-10-2020,8636011,8013783,127571
11-11-2020,8683916,8066501,128121
11-12-2020,8728795,8115580,128668
11/13/2020,8773479,8163572,129188
11/14/2020,8814579,8205728,129635
11/15/2020,8845127,8249579,130070
11/16/2020,8874290,8290370,130519
11/17/2020,8912907,8335109,130993
11/18/2020,8958483,8383602,131578
11/19/2020,9004365,8428409,132162
11/20/2020,9050597,8478124,132726
11/21/2020,9095806,8521617,133227
11/22/2020,9139865,8562641,133738
11/23/2020,9177840,8604955,134218
11/24/2020,9222216,8642771,134699
11/25/2020,9266705,8679138,135223
11/26/2020,9309787,8718517,135715
11/27/2020,9351109,8759969,136200
11/28/2020,9392919,8802267,136696
11/29/2020,9431691,8847600,137139
11/30/2020,9462809,8889585,137621
12-01-2020,9499413,8932647,138122
12-02-2020,9534964,8973373,138648
12-03-2020,9571559,9016289,139188
12-04-2020,9608211,9058822,139700
12-05-2020,9644222,9100792,140182
12-06-2020,9677203,9139901,140573
12-07-2020,9703770,9178946,140958
12-08-2020,9735850,9215581,141360
12-09-2020,9767371,9253306,141772
12-10-2020,9796744,9290809,142185
12-11-2020,9826775,9324328,142628
12-12-2020,9857029,9357464,143019
12/13/2020,9884100,9388159,143355
12/14/2020,9906165,9422636,143709
12/15/2020,9932547,9456449,144096
12/16/2020,9956557,9489740,144451
12/17/2020,9979447,9520827,144789
12/18/2020,10004599,9550712,145136
12/19/2020,10031223,9580402,145477
12/20/2020,10055560,9606111,145810
12/21/2020,10075116,9636487,146111
12/22/2020,10099066,9663382,146444
12/23/2020,10123778,9693173,146756
12/24/2020,10146845,9717834,147092
12/25/2020,10169118,9740108,147343
12/26/2020,10187850,9761538,147622
12/27/2020,10207871,9782669,147901
12/28/2020,10224303,9807569,148153
12/29/2020,10244852,9834141,148439
12/30/2020,10266674,9860280,148738
12/31/2020,10266674,9860280,148738
01-01-2021,10286709,9883461,148994
01-02-2021,10323965,9927310,149435
01-03-2021,10340469,9946867,149649
01-04-2021,10356844,9975958,149850
01-05-2021,10374932,9997272,150114
01-06-2021,10395278,10016859,150336
01-07-2021,10413417,10037398,150570
01-08-2021,10413417,10037398,150570
01-09-2021,10450284,10075950,150999
01-10-2021,10466595,10092909,151160
01-11-2021,10479179,10111294,151327
01-12-2021,10495147,10129111,151529
1/13/2021,10512093,10146763,151727
1/14/2021,10527683,10162738,151918
1/15/2021,10542841,10179715,152093
1/16/2021,10557985,10196885,152274
1/17/2021,10571773,10211342,152419
1/18/2021,10581823,10228753,152556
1/19/2021,10595639,10245741,152718
1/20/2021,10610883,10265706,152869
1/21/2021,10625428,10283702,153032
1/22/2021,10639684,10300838,153184
1/23/2021,10654533,10316786,153339
1/24/2021,10667736,10330084,153470
1/25/2021,10676838,10345985,153587
1/26/2021,10689527,10359305,153724
1/27/2021,10701193,10373606,153847
1/28/2021,10720048,10394352,154010
1/29/2021,10733130,10409146,154147
1/30/2021,10746174,10423109,154274
1/31/2021,10757610,10434983,154392
02-01-2021,10766245,10448406,154486
02-02-2021,10777284,10462631,154596
02-03-2021,10790183,10480455,154703
02-04-2021,10802591,10496308,154823
02-05-2021,10814304,10510796,154918
02-06-2021,10826363,10522601,154996
02-07-2021,10838194,10534505,155080
02-08-2021,10847304,10548521,155158
02-09-2021,10858371,10561608,155252
02-10-2021,10871294,10573372,155360
02-11-2021,10880603,10589230,155447
02-12-2021,10892746,10600625,155550
2/13/2021,10904940,10611731,155642
2/14/2021,10916589,10621220,155732
2/15/2021,10925710,10633025,155813
2/16/2021,10937320,10644858,155913
2/17/2021,10950201,10656845,156014
2/18/2021,10963394,10667741,156111
2/19/2021,10977387,10678048,156212
2/20/2021,10991651,10689715,156302
2/21/2021,11005850,10699410,156385
2/22/2021,11016434,10712665,156463
2/23/2021,11030176,10726702,156567
2/24/2021,11046914,10738501,156705
2/25/2021,11063491,10750680,156825
2/26/2021,11079979,10763451,156938
2/27/2021,11096731,10775169,157051
2/28/2021,11112241,10786452,157157
03-01-2021,11124527,10798921,157248
03-02-2021,11139516,10812044,157346
03-03-2021,11156923,10826075,157435
03-04-2021,11173761,10839894,157548
03-05-2021,11192045,10854126,157656
03-06-2021,11210799,10868520,157756
03-07-2021,11229398,10882798,157853
03-08-2021,11244786,10899394,157930
03-09-2021,11262707,10920046,158063
03-10-2021,11285561,10938146,158189
03-11-2021,11308846,10953303,158306
03-12-2021,11333728,10973260,158446
3/13/2021,11359048,10989897,158607
3/14/2021,11385339,11007352,158725
3/15/2021,11409831,11027543,158856
3/16/2021,11438734,11045284,159044
3/17/2021,11474605,11063025,159216
3/18/2021,11514331,11083679,159370
3/19/2021,11555284,11107332,159558
3/20/2021,11599130,11130288,159755
3/21/2021,11646081,11151468,159967
3/22/2021,11686796,11181253,160166
3/23/2021,11734058,11205160,160441
3/24/2021,11787534,11231650,160692
3/25/2021,11846652,11264637,160949
3/26/2021,11908910,11295023,161240
3/27/2021,11971624,11323762,161552
3/28/2021,12039644,11355993,161843
3/29/2021,12095855,11393021,162114
3/30/2021,12149335,11434301,162468
3/31/2021,12221665,11474683,162927
04-01-2021,12303131,11525039,163396
04-02-2021,12392260,11569241,164110
04-03-2021,12485509,11629289,164623
04-04-2021,12589067,11682136,165101
04-05-2021,12686049,11732279,165547
04-06-2021,12801785,11792135,166177
04-07-2021,12928574,11851393,166862
04-08-2021,13060542,11913292,167642
04-09-2021,13205926,11990859,168436
04-10-2021,13358805,12081443,169275
04-11-2021,13358805,12081443,169275
